price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above
356000,3,1.5,1680,8712,1,0,0,3,8,1680
315000,3,1,960,6634,1,0,0,3,6,960
940000,3,1.5,2140,3600,2,0,0,3,9,1900
305000,5,2.25,2660,8400,1.5,0,0,5,7,2660
461000,3,3.25,2770,6278,2,0,0,3,9,1980
215000,2,2.25,1610,2040,2,0,0,4,7,1610
335000,2,1.75,1030,1066,2,0,0,3,7,765
243500,4,2.5,1980,7403,2,0,0,3,7,1980
1.10E+06,5,2.75,3520,6353,2,0,0,4,10,3520
153000,3,1,1200,10500,1,0,0,3,7,1200
430000,3,1.5,1580,5000,1,0,0,3,8,1290
700000,3,1.5,1580,5000,1,0,0,3,8,1290
905000,4,2.5,3300,10250,1,0,0,3,7,2390
247500,3,1.75,1960,15681,1,0,0,3,7,1960
199000,4,1.5,1160,6400,1,0,0,4,7,1160
314000,3,1.75,1810,41800,1,0,0,5,7,1210
437500,3,2.5,2320,36847,2,0,2,3,9,2320
850830,3,2.5,2070,13241,1.5,0,0,5,9,1270
555000,3,2,1980,3478,1.5,0,0,4,7,1440
699950,3,2.25,2190,107593,2,0,0,4,8,2190
1.09E+06,3,2.5,2920,8113,2,0,0,3,8,2920
290000,3,1,1210,33919,1,0,0,3,7,1210
375000,3,2.5,2340,10005,1,0,0,4,8,1460
460000,3,1,1670,4005,1.5,0,0,4,7,1170
188500,2,1.75,1240,2493,1,0,0,4,8,1240
680000,4,2.5,3140,28037,2,0,0,4,10,3140
470000,5,1.75,2030,12342,2,0,0,4,7,2030
597750,4,2.5,2310,9624,2,0,0,3,8,2310
570000,3,1.75,1260,3328,1,0,0,5,6,700
272500,3,1.75,1540,12600,1,0,0,4,7,1160
329950,3,1.75,2080,5969,1,0,2,3,7,1080
480000,4,2.5,3230,16171,2,0,3,3,9,2520
740500,3,3.5,4380,6350,2,0,0,3,8,2780
518500,3,3.5,1590,1102,3,0,0,3,8,1590
205425,2,1,880,6780,1,0,0,4,6,880
171800,4,2,1570,9600,1,0,0,3,6,1570
535000,4,1,1610,2982,1.5,0,0,4,7,1610
660000,3,2.5,2400,6474,1,0,2,3,8,1560
391500,3,2,1450,9132,1,0,0,3,7,1450
395000,2,1,770,6000,1,0,0,3,6,770
445000,4,1.75,2100,4400,1.5,0,0,5,7,1720
770000,3,2.25,2910,10204,2,0,0,3,9,2910
1.45E+06,4,2.75,2750,17789,1.5,0,0,3,8,1980
445000,3,2.25,2100,8201,1,0,2,3,8,1620
260000,4,2.25,2160,8811,1,0,0,3,8,1360
822500,5,3.5,2320,4960,2,0,0,5,7,1720
430000,4,2.5,2070,4310,2,0,0,3,7,2070
212000,3,1.75,1060,7875,1,0,0,4,7,1060
660500,4,2.25,2010,9603,1,0,0,3,8,1440
784000,3,3.5,3950,111078,1.5,0,0,3,9,2460
453246,3,2.5,2010,2287,2,0,0,3,8,1390
675000,4,3.5,2140,2278,3,0,0,3,9,2140
199000,3,1.75,1320,17390,1,0,0,4,7,1320
220000,4,1.75,2020,7840,1,0,0,3,7,1010
452000,4,2.25,2590,10002,1,0,0,4,8,1340
382500,2,1,1190,4440,1,0,0,3,6,1190
519950,3,2.25,1170,1249,3,0,0,3,8,1170
665000,2,1,1110,3200,1,0,0,3,7,1110
527700,5,2.5,2820,9375,1,0,0,4,8,1550
205000,3,1,1610,8579,1,0,0,4,7,1010
420000,3,1,1060,8097,1,0,0,4,7,940
500000,4,2.25,2030,8517,1,0,0,4,8,1380
921500,4,2.5,3670,315374,2,0,0,4,9,3670
890000,4,1,2550,4000,2,0,0,3,8,2370
430000,2,2.5,2420,60984,2,0,0,3,7,2420
258000,5,2,2260,12500,1,0,0,4,8,1130
511000,3,1,1430,3455,1,0,0,3,7,980
532170,3,2,1360,3090,2,0,0,3,8,1360
560000,3,1,1110,5000,1.5,0,0,3,7,1110
282950,3,1,1250,8200,1,0,0,4,7,1250
2.25E+06,4,3.25,5180,19850,2,0,3,3,12,3540
350000,1,1,700,5100,1,0,0,3,7,700
215000,3,1,1180,7669,1,0,0,4,7,1180
650000,5,3.5,3960,25245,2,0,0,3,9,2500
320000,4,2.75,2640,7500,1,0,0,3,8,1620
247000,3,2,1270,7198,1.5,0,0,3,7,1270
320000,4,1.75,1760,11180,1,0,0,4,8,1760
255000,5,2.25,2060,8632,1,0,0,3,7,1030
438000,3,1.75,1780,9660,1,0,0,3,7,1780
900000,3,2.5,3400,16603,2,0,0,3,10,3400
441000,3,2.75,1910,7280,1,0,0,3,7,1160
420000,3,2,2020,38332,1,0,0,4,7,1010
370000,3,1.75,1580,7000,1,0,0,3,7,1180
269950,2,1.75,1340,7250,1,0,0,5,5,700
807100,4,2.5,2680,4499,2,0,0,3,9,2680
653000,3,2.5,2680,9750,1,0,0,4,8,1610
371500,3,2,1370,8336,1,0,0,5,7,1370
284000,3,1.75,1560,21000,1,0,0,3,7,1560
272000,3,1.75,2160,7140,1,0,0,4,7,1670
313000,3,1.5,1340,7912,1.5,0,0,3,7,1340
917500,4,2.5,3880,35003,2,0,0,3,10,2570
673000,4,2.25,2590,8190,2,0,0,4,8,2590
425000,3,2.5,1120,1100,2,0,0,3,8,820
399950,5,2.75,1970,5400,1,0,0,3,7,1320
385000,3,1,1220,4800,1,0,0,3,6,1220
269950,3,1.5,1950,7560,1,0,2,4,7,1320
330000,2,1,1350,8220,1,0,0,3,7,1060
260000,3,2.5,1670,5797,2,0,0,3,7,1670
470000,4,3,2380,5125,1.5,0,0,4,7,1680
589000,4,3,2440,9600,2,0,0,5,7,2440
163500,2,1.5,1050,3419,2,0,0,3,7,1050
835000,4,2.75,3130,13412,2,0,0,3,9,2140
1.10E+06,5,3,4090,12850,1,0,2,4,10,2090
269000,4,1.75,1490,10000,1,0,0,4,8,1100
560000,3,2.5,1900,8744,2,0,0,3,8,1900
615000,4,1,1330,2400,1.5,0,0,4,6,1330
585188,3,2.25,2230,10026,1,0,0,3,8,1430
305000,3,1.75,1650,9480,1,0,0,3,7,1220
166950,3,1,1190,8820,1,0,0,3,6,1190
799000,3,2.5,2140,9897,1,0,0,4,8,2140
400000,3,2.5,2180,7508,1,0,0,4,7,1420
230000,3,1,1060,10228,1,0,0,3,7,1060
256883,3,2.5,1690,5025,2,0,0,3,8,1690
423000,4,2,1970,6480,1.5,0,0,5,7,1130
465000,3,2.5,2150,4084,2,0,0,3,8,2150
440000,3,2.5,1910,66211,2,0,0,3,7,1910
385000,3,1.75,1350,155073,1,0,0,4,7,1350
210000,3,1,860,11725,1,0,0,4,6,860
297000,3,2.5,1940,14952,2,0,0,3,8,1940
470000,3,1,1010,5000,1,0,0,3,7,1010
226500,3,1.5,1300,7370,1,0,0,4,7,900
274250,3,1,910,8450,1,0,0,4,6,910
840000,4,1.75,2480,11010,1,0,0,4,9,1630
677900,3,2.5,2440,4587,2,0,0,3,8,2440
425000,3,1,1010,5864,1,0,0,3,7,1010
180250,2,0.75,900,9600,1,0,0,3,6,900
464000,6,3,2300,3404,2,0,0,3,7,1600
320000,4,2.25,1550,7579,2,0,0,3,8,1550
625504,3,2.25,1270,1566,2,0,0,3,8,1060
592500,4,2.5,2240,12032,1,0,0,3,9,2240
465000,3,2.5,2714,17936,2,0,0,3,9,2714
477000,4,2.75,1720,6270,2,0,0,3,8,1720
280000,2,1,850,16400,1,0,0,3,6,850
1.51E+06,5,3,3300,33474,1,0,3,3,9,1870
445838,3,2.5,2250,5692,2,0,0,3,8,2250
1.07E+06,2,2.25,3900,14864,1,0,3,3,8,1950
467000,2,1.5,1320,10800,1,0,0,4,8,1320
686000,4,2.5,2760,6440,2,0,0,3,10,2760
279950,3,2,1750,9750,1,0,0,3,7,1350
527000,4,2.25,2330,19436,2,0,0,3,8,2330
325000,3,2.25,2220,16020,1,0,0,4,8,1780
328000,3,2.25,2020,8379,2,0,0,3,7,2020
390000,3,2.25,1250,7500,1,0,0,5,7,1250
479950,2,2,1510,6516,1,0,0,3,8,1510
264950,4,2.25,1720,9753,1,0,0,4,7,1120
235000,3,1,1430,15246,1,0,0,4,7,980
516500,3,2.5,1480,4729,2,0,0,3,7,1480
655000,2,1.75,1450,15798,2,1,4,3,7,1230
500000,4,2.75,2280,15347,1,0,0,5,7,2280
315000,6,2.75,2940,7350,1,0,0,3,8,1780
213000,2,1,1000,10200,1,0,0,3,6,1000
475000,3,1.5,2480,5280,1.5,0,0,5,7,1620
1.03E+06,5,4,3760,28040,2,0,0,3,10,3760
416000,3,2,2220,94300,1,0,0,5,7,1640
410000,4,1,1970,4740,1.5,0,0,3,7,1670
800000,3,3.5,3830,221284,2,0,0,3,10,3530
472000,6,2.5,4410,14034,1,0,2,4,9,2350
225000,3,1.75,1430,8505,1,0,0,4,7,1430
210000,2,1,830,6000,1,0,0,3,6,830
455000,2,1,1430,5000,1.5,0,0,2,7,1430
225000,3,1,1300,8316,1,0,0,4,6,1300
480000,2,1,1030,3060,1,0,2,4,7,790
363000,3,2.5,2740,11872,2,0,0,3,9,2740
2.40E+06,4,2.5,3650,8354,1,1,4,3,9,1830
181000,2,1.5,720,5120,1,0,0,3,6,720
250000,4,2,2010,7312,1,0,0,4,7,2010
481000,3,1.75,1560,3000,1,0,0,4,6,770
260000,3,2,1810,7209,1,0,0,4,7,1240
455000,4,2.5,3360,7685,2,0,0,3,9,3360
415000,3,2.25,1510,36224,2,0,0,3,8,1510
349500,3,1,1400,3538,1,0,0,3,7,800
245000,3,2.5,1730,7442,2,0,0,3,7,1730
592500,2,2,1420,9191,1.5,0,2,5,7,1420
385000,4,1.75,2360,7620,1,0,0,4,7,1180
315000,3,1.75,1580,11455,1,0,0,4,7,1200
255000,3,1,1230,10170,1,0,0,3,7,1230
693000,4,2.5,2460,4425,2,0,0,3,8,2460
780000,3,1,1660,4400,1.5,0,0,3,8,1460
237000,3,1.75,1270,8470,1,0,0,4,7,1270
525000,3,2.25,2100,40510,2,0,0,3,10,1320
425000,2,1,770,5040,1,0,0,3,5,770
369900,1,0.75,760,10079,1,1,4,5,5,760
290000,4,2.5,1700,7280,2,0,0,4,7,1700
285000,3,1,1120,10701,1,0,0,3,7,1120
415000,2,1,1070,4500,1,0,0,3,7,1070
272500,3,2.5,2070,9900,1,0,0,3,8,1420
2.90E+06,4,3.25,5050,20100,1.5,0,2,3,11,4750
1.37E+06,4,4.75,5310,57346,2,0,0,4,11,5310
436000,2,1,1040,7538,1,0,0,4,7,1040
210000,3,1,1700,11390,1,0,0,4,7,1700
236000,3,1,1300,5898,1,0,0,3,7,1300
331000,3,1.75,1080,1306,1,0,0,3,7,580
365000,3,2.5,2653,4510,2,0,0,3,8,2653
450000,3,2,2290,16258,1,0,0,5,8,2290
770000,4,2.75,3820,26300,2,0,0,3,9,2850
455000,4,2.5,2210,49375,1,0,0,3,8,2210
405000,3,1.75,2390,6000,1,0,0,3,6,1240
304900,4,1.75,2600,11325,1,0,0,4,7,1610
170000,2,1,860,5265,1,0,0,3,6,860
2.05E+06,5,3,3830,8480,2,0,1,5,9,2630
780000,4,2.5,3500,7048,2,0,0,3,9,3500
330000,3,3,2420,13959,1,0,0,4,8,1740
370000,4,2.5,2720,8666,2,0,0,3,9,2720
467000,5,2.25,2500,13500,1,0,0,3,7,1850
405000,3,1.75,1670,6720,1,0,0,3,7,1140
675000,5,2.25,2900,10300,1,0,0,3,8,1450
500000,2,1,1640,14100,1,0,0,4,7,1140
389999,4,2.5,1890,15770,2,0,0,4,7,1890
630000,4,1.75,2950,9025,1,0,2,4,8,1780
360000,4,2.5,2160,9528,2,0,0,3,9,2160
580000,4,3,3280,11060,2,0,0,3,8,2270
550000,3,2,1970,4166,2,0,3,5,8,1270
879000,4,2.5,3360,22111,2,0,0,3,10,3360
265000,3,2,1320,8959,1,0,0,3,7,1320
446500,3,2.5,2650,7286,2,0,0,3,8,2650
404000,3,1.5,2030,8880,1,0,0,3,7,1330
267500,3,1.75,1590,11914,1,0,2,3,7,1090
3.08E+06,4,5,4550,18641,1,1,4,3,10,2600
335000,3,2.5,2440,7632,2,0,0,3,8,2440
576000,3,2.5,1940,9000,1,0,0,4,7,970
208633,3,2.5,2040,3810,2,0,0,3,8,2040
315000,3,2.25,2200,8750,1,0,0,4,7,1120
725000,3,1.75,1920,3300,1,0,0,4,8,960
550000,4,2.75,1800,7750,1,0,0,4,8,1400
610750,4,2.25,2180,7297,2,0,0,3,8,2180
550700,2,1,1010,5000,1.5,0,0,4,6,1010
665000,4,2.75,3320,10574,2,0,0,5,8,2220
834000,4,2.5,2370,4000,1.5,0,2,5,8,1980
201000,5,1.75,1660,78408,1.5,0,0,3,6,1660
2.38E+06,5,2.5,3650,9050,2,0,4,5,10,3370
1.38E+06,4,3.25,4290,12103,1,0,3,3,11,2690
1.40E+06,4,3.25,4290,12103,1,0,3,3,11,2690
305000,4,2.25,1950,7700,1,0,0,3,8,1350
487000,3,2,2590,14052,1,0,0,5,8,1720
390000,3,2.5,1930,64904,1,0,0,4,8,1930
548000,2,1,1470,3864,1,0,0,4,7,1170
268750,4,1,800,8775,1,0,0,3,6,800
819900,5,2.75,3150,7119,2,0,0,3,9,3150
520000,3,2.25,2030,16200,2,0,0,3,8,2030
230000,3,2,1450,11204,1,0,0,3,7,1450
240000,3,1.75,1510,10248,1,0,0,3,7,1510
232000,2,1,1240,12092,1,0,0,3,6,960
240500,2,1,1240,12092,1,0,0,3,6,960
274975,3,2.5,3030,45004,2,0,0,3,9,3030
740000,4,2,2050,4400,1.5,0,0,4,9,2050
186375,3,1,1000,7636,1,0,0,2,7,1000
790000,3,2.25,2370,10289,1,0,0,4,9,1590
880000,4,3.5,2800,6750,2,0,0,3,9,1890
279000,6,1.75,2240,11180,2,0,0,4,7,2240
295000,3,2,1810,10530,1,0,2,3,8,1810
640000,2,1,1070,5000,1,0,0,3,7,1070
940000,4,2,2490,9525,2,0,0,5,9,2490
260000,4,2.5,1960,5238,2,0,0,3,7,1960
559900,3,2.75,2930,5569,1,0,0,3,9,1860
791500,4,2,1510,3500,1.5,0,0,5,7,1510
265000,3,1.75,1420,8250,1,0,0,3,7,1420
245000,3,1.75,1740,11547,1,0,0,3,7,1740
485000,4,1.75,2560,43995,2,0,0,4,7,2560
684000,4,3.5,3040,8414,2,0,0,3,9,2420
425000,3,1.75,2500,6840,1,0,0,3,8,1300
309600,4,1.75,1275,20000,1,0,0,4,6,1275
552250,4,2.5,2580,5823,2,0,0,3,8,2580
165000,4,1,1000,7134,1,0,0,3,6,1000
239900,4,1,1000,7134,1,0,0,3,6,1000
320000,2,1,1070,32633,1,0,0,4,6,1070
206600,3,2,1390,13464,1,0,0,4,7,1390
387000,4,1.75,2500,7690,1,0,0,3,7,1250
299000,1,0.75,560,12120,1,0,0,3,4,560
855000,4,2.75,2270,10460,2,0,0,3,9,2270
315000,3,1,1900,14400,1,0,0,4,7,1300
437500,2,1,990,3120,1,0,2,5,7,790
252000,4,1.5,1550,19800,1,0,0,4,7,1050
375000,4,1.75,2200,7475,1,0,0,5,7,1100
300000,4,2.5,1910,4862,2,0,0,3,7,1910
420000,4,1,1750,9600,1.5,0,0,4,7,1750
900000,3,1,1330,77972,1,0,0,3,7,1330
679900,3,2.5,2440,5750,2,0,2,3,9,1980
463000,3,2.5,1640,29970,2,0,0,3,7,1640
380000,5,2.5,2760,11340,2,0,0,4,9,2760
329500,4,2.5,1820,7912,2,0,0,3,7,1820
604950,3,2.5,2110,5608,1,0,0,3,8,1340
795000,5,2.5,3040,9570,1,0,2,4,8,1640
465000,3,2,1840,40438,2,0,0,3,7,1840
673000,4,2.5,2990,10400,2,0,0,3,9,2990
810000,4,2.5,3520,15420,2,0,0,3,10,3520
785000,4,2.75,2440,69415,1,0,0,4,8,1910
338000,4,3,2090,7500,1,0,0,3,7,1370
280000,3,2.25,1430,7222,2,0,0,3,7,1430
315000,4,2.25,2180,10754,1,0,0,5,7,1100
530000,4,2.25,2180,10754,1,0,0,5,7,1100
380000,5,3,3450,9914,2,0,0,3,9,3450
297000,3,2.25,1450,7562,2,0,0,3,7,1450
730000,4,2.5,3230,7331,2,0,0,3,10,3230
450000,3,1.75,1640,13500,1,0,0,3,7,1110
275000,3,3,1590,7750,1,0,0,3,7,1060
595000,4,2,2020,2849,2,0,0,3,7,2020
435000,3,1.5,1300,3348,1.5,0,0,3,7,1300
270000,2,1.5,1380,209959,1,0,0,1,6,1380
950000,3,3,4040,14338,2,0,0,3,10,3030
389000,4,2.25,2130,5337,2,0,0,3,7,2130
560000,4,2.25,2550,7800,1,0,0,3,8,1580
1.35E+06,5,3.5,4800,14984,2,0,2,3,11,3480
799000,4,2.25,2510,11585,2,0,0,4,8,2510
365500,3,2,1410,9600,1,0,0,4,7,1410
252350,3,2,1650,7352,1,0,0,3,7,1160
403950,4,2.5,2120,13780,2,0,0,3,8,2120
385000,4,1.5,2040,10726,1,0,0,3,7,1380
345000,4,1,1550,7620,1.5,0,0,3,7,1550
490000,3,2.75,1980,3128,2,0,0,4,9,1980
330000,3,2.5,1600,26977,2,0,0,3,8,1600
927000,4,2.75,3300,12090,2,0,0,3,8,3300
1.12E+06,4,2.5,3840,16619,2,0,1,4,10,3840
330000,2,1,1220,10000,1,0,0,5,7,1220
530000,5,2.25,2720,8800,1,0,0,4,7,1500
365000,4,2,1940,25600,1,0,0,1,8,1940
378750,3,2.5,2160,3000,1.5,0,0,3,7,1260
269900,4,1.75,1530,8750,1.5,0,0,4,7,1530
557000,3,3.5,1710,2096,2,0,0,3,8,1290
360000,4,1.75,3730,16980,1,0,0,4,7,2150
352000,2,1,940,5000,1,0,0,4,7,940
437000,3,2.5,1750,22357,2,0,0,3,8,1750
322500,4,2.5,1820,6753,2,0,0,3,7,1820
650000,3,3.25,1510,2000,2,0,0,3,9,1330
450000,3,2,1290,1213,3,0,0,3,8,1290
278500,3,2,1570,5250,1,0,0,3,7,1570
364950,4,2.5,1930,6957,2,0,0,3,8,1930
840000,4,3.5,2840,40139,1,0,4,4,10,2840
268000,3,2.5,1550,8134,2,0,0,3,7,1550
517534,2,1,833,143947,1,0,0,3,5,833
632925,3,2.5,2990,32239,2,0,0,4,8,2990
577500,3,2.5,2000,7251,2,0,0,3,9,2000
339000,4,1.5,2390,7480,1.5,0,2,3,7,2390
570000,3,1.75,2910,37461,1,0,0,4,7,1530
563500,4,1.75,2085,174240,1,0,0,3,7,1610
423000,4,2.25,2200,9351,1,0,0,5,7,1290
355000,3,2.25,1860,5028,2,0,0,3,8,1860
1.55E+06,5,4.25,6070,171626,2,0,0,3,12,6070
482000,2,1,950,3960,1,0,0,3,7,950
625000,3,1.75,1600,9135,1,0,0,5,7,1600
538000,3,2.5,2250,11632,2,0,0,3,8,2250
380000,3,2.5,2280,10255,2,0,0,4,8,2280
375000,2,1,940,5120,1,0,0,3,7,940
245000,3,2.5,1530,8500,1,0,0,5,7,1030
310000,5,1.75,2190,27260,1,0,0,4,7,2190
1.30E+06,3,2,2350,15021,1,0,0,4,8,1770
397000,4,2,1440,7680,1,0,0,3,7,1200
365000,3,2.5,2200,4052,2,0,0,3,8,2200
328500,4,3,2290,8250,2,0,0,3,9,2290
988000,4,3,4040,19700,2,0,0,3,11,4040
1.00E+06,4,2.5,2610,3277,1.5,0,0,5,8,1920
237000,3,2.5,1490,2138,2,0,0,3,7,1490
525000,4,2.5,2450,5280,2,0,0,3,8,2450
749000,4,2.5,1710,9627,1,0,0,3,9,1440
722500,5,2.5,4870,11800,2,0,0,3,10,3470
843000,3,2.5,3130,8750,2,0,0,3,10,3130
438000,2,2,1270,1372,3,0,0,3,8,1270
578000,3,1.75,2120,10875,1,0,2,3,8,1540
227950,3,1.5,1670,8230,1,0,0,5,7,1670
196000,3,2.25,2070,11576,2,0,0,3,7,2070
641000,2,1,1420,5332,1,0,0,3,8,1070
350000,3,1.5,1250,219978,1,0,0,4,6,1250
205000,3,1,940,7980,1,0,0,4,7,940
400000,3,1.75,1920,9102,1,0,0,3,7,1920
1.03E+06,3,2.5,3545,9816,1,0,0,3,10,2610
505000,3,2,1260,5460,1,0,0,3,7,1260
475000,5,2.5,2340,7200,1,0,0,3,7,1300
520000,3,2.25,2590,9263,1,0,0,5,8,1440
1.45E+06,3,4.5,3970,24920,2,0,2,3,10,3260
333500,3,1.75,1220,9732,1,0,0,3,7,1220
232000,3,1,1400,10403,1,0,0,4,6,1400
691100,3,2.75,2360,16117,1,0,0,4,8,1710
811000,3,1.75,1870,9897,1,0,0,4,8,1870
551000,3,2.5,2830,5802,2,0,0,3,9,2830
496500,3,2.5,2260,3640,2,0,0,3,8,2260
705000,3,3,1970,20978,2,1,3,4,9,1770
578000,4,2.5,3140,9225,1,0,2,5,9,1770
255000,3,1.75,1240,8659,1,0,0,5,7,1240
1.05E+06,4,3.5,3450,7832,2,0,0,3,10,3450
348000,3,2.25,2570,8491,2,0,0,4,8,2570
230000,3,2,1510,3413,2,0,0,3,7,1510
359500,4,2.25,2390,11250,2,0,0,3,9,2390
330000,3,1,980,7000,1,0,0,3,6,980
80000,1,0.75,430,5050,1,0,0,2,4,430
465000,3,1.75,1480,6360,1,0,0,3,7,1480
325000,4,2.5,1850,7324,2,0,0,3,8,1850
340500,3,2,2270,28025,1,0,0,4,7,1920
342500,3,2.5,1810,5192,2,0,0,3,8,1810
290900,2,2,1610,17600,2,0,0,3,6,1610
868700,3,4.25,3840,6161,2,0,0,3,10,3840
1.20E+06,4,2.75,4110,8400,2,0,1,3,9,3130
1.15E+06,4,3.25,4190,10259,2,0,0,3,11,3150
859900,4,2.75,3390,6298,2,0,0,3,9,3390
520000,4,2.25,1890,3006,2,0,0,3,7,1890
460000,3,2.5,1610,2527,2,0,2,3,9,1080
438924,3,1.5,1050,4590,1,0,0,3,7,850
315000,2,1,630,6550,1,0,0,3,5,630
590000,4,2.75,2910,10650,1,0,2,3,8,1780
378500,4,1.75,1700,8640,1,0,0,3,7,850
328500,3,2.5,1950,8130,2,0,0,4,9,1950
849950,3,3,2990,9773,2,0,0,4,8,2990
525000,3,1.5,1350,6000,1,0,2,3,7,900
1.39E+06,4,3.25,4860,181319,2.5,0,0,3,9,4860
295000,4,2.5,2160,7725,1,0,0,4,8,1460
1.07E+06,6,3.5,4860,11793,2,0,0,3,11,3860
207950,2,2,890,5000,1,0,0,3,6,890
699900,4,2.75,2810,7302,2,0,0,3,9,2810
1.28E+06,5,2.5,3400,9500,2,0,1,4,8,3400
452000,4,1.5,1580,7350,1,0,0,4,7,960
370000,3,2,1680,5036,1,0,1,4,7,1680
232000,3,1.75,1300,11230,1,0,0,5,7,1300
669950,5,2.5,2820,14062,2,0,0,4,7,2380
397500,3,2,1510,6710,1,0,0,3,7,1070
490000,2,2.5,1230,1391,2,0,0,3,8,870
725000,4,2,2110,4140,2,0,0,3,9,1710
299000,3,2.75,3080,19635,1,0,2,4,7,1610
625000,2,1.5,1490,5750,1.5,0,0,4,7,1190
437500,3,2.5,2120,4500,2,0,0,3,7,2120
650000,4,2.5,3180,5438,2,0,0,3,9,3180
475000,2,1,1490,3825,1,0,0,3,7,860
342000,3,2,1930,11947,1,0,0,4,8,1930
